algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fedavg_sgd,0.1,30,102,55,1,0.20433983538294326,0.16218739844378036,False,
fedavg_sgd,0.1,30,102,55,2,0.2250294866368636,0.14114104752242942,False,
fedavg_sgd,0.1,30,102,55,3,0.222479082939111,0.14361094406774152,False,
fedavg_sgd,0.1,30,102,55,4,0.30319371371878884,0.12452568009670646,False,
fedavg_sgd,0.1,30,102,55,5,0.3347877863674032,0.12607859702344917,False,
fedavg_sgd,0.1,30,102,55,6,0.35769402072175355,0.11861301268355198,False,
fedavg_sgd,0.1,30,102,55,7,0.3602896718685307,0.11751016247537638,False,
fedavg_sgd,0.1,30,102,55,8,0.36558329107790766,0.1174206902157209,False,
fedavg_sgd,0.1,30,102,55,9,0.3655250846170533,0.11273935219635159,False,
fedavg_sgd,0.1,30,102,55,10,0.3717874150835932,0.10892244131274714,False,
fedavg_sgd,0.1,30,102,55,11,0.38875691141892976,0.10914082683517774,False,
fedavg_sgd,0.1,30,102,55,12,0.3950864098574606,0.10695925591465326,False,
fedavg_sgd,0.1,30,102,55,13,0.3844535813510107,0.1077149386168762,False,
fedavg_sgd,0.1,30,102,55,14,0.3829670431605527,0.10320202468507099,False,
fedavg_sgd,0.1,30,102,55,15,0.3977952503239802,0.10444773763808299,False,
fedavg_sgd,0.1,30,102,55,16,0.3913930273369149,0.10646424708095499,False,
fedavg_sgd,0.1,30,102,55,17,0.39124563270964285,0.1070840947945677,False,
fedavg_sgd,0.1,30,102,55,18,0.4074023206272914,0.10193173948195935,False,
fedavg_sgd,0.1,30,102,55,19,0.3945721372642469,0.10449865536771753,False,
fedavg_sgd,0.1,30,102,55,20,0.3863096833535783,0.10392744223497791,False,
fedavg_sgd,0.1,30,102,55,21,0.3929909032571683,0.10334409825208553,False,
fedavg_sgd,0.1,30,102,55,22,0.39444884732147145,0.10147432381091302,False,
fedavg_sgd,0.1,30,102,55,23,0.39669260594607647,0.10635289931747874,False,
fedavg_sgd,0.1,30,102,55,24,0.40021681594869735,0.10889256501614722,False,
fedavg_sgd,0.1,30,102,55,25,0.40046790513269187,0.10847574340935337,False,
fedavg_sgd,0.1,30,102,55,26,0.4202364582970379,0.10727100680852693,False,
fedavg_sgd,0.1,30,102,55,27,0.41629545184789707,0.10593686513334845,False,
fedavg_sgd,0.1,30,102,55,28,0.42196554300762634,0.1067976940330058,False,
fedavg_sgd,0.1,30,102,55,29,0.41588479013482005,0.11050455221719044,False,
fedavg_sgd,0.1,30,102,55,30,0.4224314525815744,0.10937248584391107,False,
fedavg_sgd,0.1,30,102,55,31,0.4160191078864252,0.11223158033860753,False,
fedavg_sgd,0.1,30,102,55,32,0.43610322703898013,0.10672531553860291,False,
fedavg_sgd,0.1,30,102,55,33,0.433879264529855,0.11032580390369774,False,
