seed,round,class,client_id,role,fedavg_weight,update_norm,weighted_contribution_norm,cosine_update_vs_aggregate
11,10,Manipulation,2,holder,0.027715636601085895,0.10407841205596924,0.0028845996130257845,-0.8972702622413635
11,10,Manipulation,3,non_holder,0.08175443067881731,0.12229642271995544,0.009998274967074394,0.9559115767478943
11,10,Manipulation,4,non_holder,0.06399450821860342,0.21359072625637054,0.013668632134795189,0.9490464329719543
11,10,Manipulation,5,non_holder,0.052472836425095884,0.1504269540309906,0.007893328554928303,0.9841612577438354
11,10,Manipulation,6,non_holder,0.2406300665729666,0.36199653148651123,0.08710724860429764,0.9777107834815979
11,10,Manipulation,7,non_holder,0.026203164285561475,0.08544336259365082,0.0022388866636902094,0.965256929397583
11,10,Manipulation,8,non_holder,0.09916879135230468,0.15007635951042175,0.014882892370223999,0.9365169405937195
11,10,Manipulation,9,non_holder,0.024786500486949116,0.08434400707483292,0.0020905928686261177,0.9562042951583862
11,10,Manipulation,10,non_holder,0.035486358448497346,0.14586038887500763,0.00517605384811759,0.9392726421356201
11,10,Manipulation,11,non_holder,0.03317718715496144,0.09070387482643127,0.0030092992819845676,0.946691632270813
11,10,Manipulation,12,non_holder,0.01581073073993011,0.06534835696220398,0.001033205189742148,0.9622780680656433
11,10,Manipulation,13,holder,0.039270329776635936,0.1267234981060028,0.004976473283022642,-0.9107363224029541
11,10,Manipulation,14,non_holder,0.04655596287094407,0.10343229025602341,0.004815389867872,0.9381470680236816
11,10,Replay,0,non_holder,0.17920750543457536,0.2602970600128174,0.04664718732237816,0.9399573802947998
11,10,Replay,1,holder,0.033765990953071506,0.11371692270040512,0.003839764278382063,-0.816770613193512
11,10,Replay,2,non_holder,0.027715636601085895,0.11800217628479004,0.003270505229011178,0.9266038537025452
11,10,Replay,3,non_holder,0.08175443067881731,0.12658217549324036,0.010348653420805931,0.9495402574539185
11,10,Replay,4,holder,0.06399450821860342,0.16336482763290405,0.010454450733959675,-0.6390020847320557
11,10,Replay,5,non_holder,0.052472836425095884,0.1434132605791092,0.007525300607085228,0.9684054255485535
11,10,Replay,6,non_holder,0.2406300665729666,0.2948317229747772,0.0709453746676445,0.9688428640365601
11,10,Replay,7,non_holder,0.026203164285561475,0.08617883920669556,0.002258158288896084,0.9367585182189941
11,10,Replay,8,non_holder,0.09916879135230468,0.15215279161930084,0.015088808722794056,0.9182775020599365
11,10,Replay,9,non_holder,0.024786500486949116,0.08686165511608124,0.0021529963705688715,0.9310119152069092
11,10,Replay,10,holder,0.035486358448497346,0.11387552320957184,0.004041027743369341,-0.7269572019577026
11,10,Replay,11,non_holder,0.03317718715496144,0.09378352016210556,0.00311147328466177,0.9225854277610779
11,10,Replay,12,non_holder,0.01581073073993011,0.06496261805295944,0.0010271065402776003,0.9392804503440857
11,10,Replay,13,non_holder,0.039270329776635936,0.15403813123703003,0.006049128249287605,0.9086914658546448
11,10,Replay,14,non_holder,0.04655596287094407,0.10936746746301651,0.0050917076878249645,0.9035215973854065
11,20,Manipulation,0,non_holder,0.17920750543457536,0.21659278869628906,0.038815055042505264,0.9533965587615967
11,20,Manipulation,1,non_holder,0.033765990953071506,0.11430221050977707,0.003859527176246047,0.9486448764801025
11,20,Manipulation,2,holder,0.027715636601085895,0.09354371577501297,0.0025926234666258097,-0.932222843170166
11,20,Manipulation,3,non_holder,0.08175443067881731,0.090166375041008,0.007371500600129366,0.9615514278411865
11,20,Manipulation,4,non_holder,0.06399450821860342,0.19792991876602173,0.012666427530348301,0.9601949453353882
11,20,Manipulation,5,non_holder,0.052472836425095884,0.13166478276252747,0.006908825132995844,0.9827615022659302
11,20,Manipulation,6,non_holder,0.2406300665729666,0.27428725361824036,0.066001757979393,0.9846319556236267
11,20,Manipulation,7,non_holder,0.026203164285561475,0.07499443739652634,0.0019650915637612343,0.9651290774345398
11,20,Manipulation,8,non_holder,0.09916879135230468,0.09160098433494568,0.009083959273993969,0.9041467308998108
11,20,Manipulation,9,non_holder,0.024786500486949116,0.05838219076395035,0.0014470902970060706,0.962127685546875
11,20,Manipulation,10,non_holder,0.035486358448497346,0.1397785097360611,0.004960230551660061,0.9671194553375244
11,20,Manipulation,11,non_holder,0.03317718715496144,0.06364890933036804,0.0021116917487233877,0.9401015639305115
11,20,Manipulation,12,non_holder,0.01581073073993011,0.05776236578822136,0.0009132651030085981,0.9671693444252014
11,20,Manipulation,13,holder,0.039270329776635936,0.11388754099607468,0.004472400993108749,-0.947090208530426
11,20,Manipulation,14,non_holder,0.04655596287094407,0.06916714459657669,0.0032201430294662714,0.9528733491897583
